Sr No,Question,Choice1,Choice2,Choice3,Choice4,Answer,Remarks,Marks
1,What is a+b if a = 4 and b = 19?,20,21,22,23,4,Additon Question,5
2,"If x = 9 and y = 5, that what is x-y?",3,4,5,6,2,Subtraction Question,5
3,"If in square, length of a side is 4, then what is the perimeter of the square?",12,13,15,16,4,Perimeter Question,5
4,"If in square, length of a side is 4, then what is the area of the square?",13,16,15,12,2,Area Question,5
5,What is 3*4?,12,13,14,15,1,Multiplication Question,5
6,What is a+b if a = 5 and b = 19?,22,24,25,26,2,Addition Question,5
7,"If x = 9 and y = 4, that what is x-y?",5,4,3,2,1,Subtraction Question,5
8,"If in square, length of a side is 2, then what is the perimeter of the square?",7,8,10,12,2,Perimeter Question,5
9,"If in square, length of a side is 8, then what is the area of the square?",12,48,64,36,3,Area Question,5
10,What is 5*4?,10,12,20,40,3,Multiplication Question,5
